14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,79,79,14,14,14,14,14,14,14,14,14,14
14,14,14,14,79,79,79,79,79,79,79,14,14,79,79,79,79,79,79,14
14,14,14,14,79,79,79,79,79,79,79,14,14,79,79,79,79,79,79,14
14,14,79,79,79,79,79,79,79,79,79,14,14,79,79,79,79,79,79,14
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,14
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,14
14,14,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,14
14,14,14,14,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,14
14,14,14,14,79,79,79,79,79,79,79,79,14,14,79,79,79,79,79,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
14,14,14,14,14,14,79,79,79,79,79,79,14,14,14,14,14,14,14,14
